step,processed_datasets,ok_count,failed_count,avg_accuracy_ok,wall_seconds,baseline_avg_accuracy_ok,baseline_wall_seconds,common_ok_count,common_avg_baseline,common_avg_step,avg_delta_pp,median_delta_pp,improve,worse,same,ttt_applied_count,ttt_skipped_count
1,178,172,6,0.838201,2004.549,0.8377551232095448,951.494,172,0.8381284502445582,0.838200966620551,0.007251637599274907,0.0,25,18,129,160,12
2,178,172,6,0.838189,936.109,0.8377551232095448,951.494,172,0.8381284502445582,0.8381894780602639,0.006102781570572809,0.0,27,26,119,160,12
3,178,172,6,0.838295,1037.233,0.8377551232095448,951.494,172,0.8381284502445582,0.838294510337001,0.016606009244293396,0.0,33,31,108,160,12
4,178,172,6,0.838243,1179.36,0.8377551232095448,951.494,172,0.8381284502445582,0.8382430146765575,0.011456443199941862,0.0,34,33,105,160,12
5,178,172,6,0.838305,1294.936,0.8377551232095448,951.494,172,0.8381284502445582,0.8383045088057656,0.01760585612075871,0.0,40,35,97,160,12
10,178,172,6,0.838531,1763.958,0.8377551232095448,951.494,172,0.8381284502445582,0.838530747457747,0.04022972131891251,0.0,53,36,83,160,12
20,178,172,6,0.838791,2747.49,0.8377551232095448,951.494,172,0.8381284502445582,0.8387914513524936,0.0663001107935416,0.0,58,37,77,160,12
30,178,172,6,0.838591,3724.954,0.8377551232095448,951.494,172,0.8381284502445582,0.8385914572961481,0.04630070515901715,0.0,61,48,63,160,12
40,178,172,6,0.83883,4791.617,0.8377551232095448,951.494,172,0.8381284502445582,0.8388295672856789,0.07011170411208337,0.0,66,44,62,160,12
50,178,172,6,0.838709,5885.859,0.8377551232095448,951.494,172,0.8381284502445582,0.8387086698047332,0.05802195601752099,0.0,72,47,53,160,12
